Province_Code,Province_Name,District_Code,District_Name,DSD_Code,DSD_Name,GND_Code,GND_Name,AG_0_14,AG_15_59,AG_60_64,AG_65_and_above,Male,Female,Total,Occupied_Housing_Units,Poverty_Percentage,Unemployment_Rate,Road_Density,Road_Length
1,Western,11,Colombo,15,Seethawaka,190,Gira Imbula,197,671,71,145,548,536,1084,284,22.8,8.66,4.298088465,3.894581134
1,Western,11,Colombo,12,Homagama,95,Godagama North,181,955,89,233,727,731,1458,447,7.15,3.8,19.78340047,5.017374761
1,Western,11,Colombo,12,Homagama,150,Godagama South,559,2280,237,537,1747,1866,3613,1017,12.3,6.06,35.22185364,9.555009382
1,Western,11,Colombo,21,Maharagama,180,Godigamuwa North,470,2332,212,641,1805,1850,3655,1078,6.45,3.59,14.07142432,5.614074357
1,Western,11,Colombo,21,Maharagama,170,Godigamuwa South,761,3401,347,834,2547,2796,5343,1667,5.8,2.94,8.750344469,7.84719845
1,Western,11,Colombo,21,Maharagama,175,Godigamuwa South B,1088,5045,413,941,3529,3958,7487,2158,6.85,4.3,11.89701606,9.936803301
1,Western,11,Colombo,36,Kesbewa,195,Gorakapitiya,364,1331,95,295,1004,1081,2085,581,11.91,6.9,4.877388334,3.233409111
1,Western,11,Colombo,27,Thimbirigasyaya,50,Gothamipura,593,2706,266,615,1871,2309,4180,1118,7.81,3.81,12.94437199,15.14473834
1,Western,11,Colombo,6,Kolonnawa,200,Gothatuwa,461,1810,152,408,1369,1462,2831,751,13.14,4.92,7.311674643,5.84920402
1,Western,11,Colombo,6,Kolonnawa,190,Gothatuwa New Town,362,1403,123,314,1053,1149,2202,589,13.42,4.83,15.33837119,3.604488508
1,Western,11,Colombo,3,Colombo,80,Grandpass North,2167,6405,581,1028,4990,5191,10181,2363,14.68,4.5,15.24927026,5.215892787
1,Western,11,Colombo,3,Colombo,75,Grandpass South,2994,9074,780,1321,7125,7044,14169,3512,13.3,4.01,15.88656609,8.48125778
1,Western,11,Colombo,18,Padukka,220,Gurulana,168,568,53,135,466,458,924,259,16.7,7.09,1.991562166,4.077057848
